Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,34082,-,-,-,14.25,77.35,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Wind Speed,
2010,1,20,0,0,0,0,0,0,0,0,18,20.267898989009495,941.5955200195312,87.7858540394714,174.00563560718354,2.723755121231079,N/A
2010,1,20,1,0,0,0,0,0,0,0,18,19.943698368297078,940.9454345703125,89.9393137814736,164.79548092914683,2.5759689807891846,N/A
2010,1,20,2,0,0,0,0,0,0,0,18,19.679286025317083,940.5109252929688,91.5160278142237,151.10587990695626,2.5428619384765625,N/A
2010,1,20,3,0,0,0,0,0,0,0,18,19.40275223581932,940.69921875,92.63765448008472,137.06892414845493,2.566054105758667,N/A
2010,1,20,4,0,0,0,0,0,0,0,17,19.04150128520314,940.9777221679688,93.6544323014582,123.00624782901735,2.628314256668091,N/A
2010,1,20,5,0,0,0,0,0,0,0,17,18.83221651309151,941.88671875,94.78997371523764,109.02293862628272,2.687758445739746,N/A
2010,1,20,6,0,0,0,0,0,0,0,18,19.08035768285447,942.8058471679688,94.34896668922926,95.20506026085043,2.6688482761383057,N/A
2010,1,20,7,0,57,244,92,57,244,92,18,20.54673925628805,943.6030883789062,89.6278639067035,81.66597165600781,2.5119240283966064,N/A
2010,1,20,8,0,119,541,316,119,541,316,18,23.23301610484259,944.3363037109375,77.05714310768495,68.59530772502045,2.6123507022857666,N/A
2010,1,20,9,0,153,690,536,153,690,536,18,25.233006078098583,944.4696044921875,64.80442040270226,56.333847135336676,2.6038036346435547,N/A
2010,1,20,10,0,174,769,713,174,769,713,17,26.766310750518016,943.9663696289062,58.12540845019581,45.554271038776896,2.4972035884857178,N/A
2010,1,20,11,0,185,810,827,185,810,827,17,27.632692010617404,942.8629760742188,55.01907293202151,37.56586838230728,2.3661608695983887,N/A
2010,1,20,12,0,189,822,867,189,822,867,17,28.062195966940976,941.7062377929688,53.660709501545355,34.37989742740554,2.233964204788208,N/A
2010,1,20,13,0,185,809,830,185,809,830,17,27.963871281311526,940.4110717773438,53.59927129416205,37.25207824381366,2.082214593887329,N/A
2010,1,20,14,0,174,769,718,174,769,718,17,27.45451095675753,940.0951538085938,54.443866955855526,45.0368685158029,1.9297159910202026,N/A
2010,1,20,15,0,154,691,544,154,691,544,17,26.371904886145217,940.0855102539062,56.54157505393103,55.70821364129982,1.8448840379714966,N/A
2010,1,20,16,0,120,547,326,120,547,326,17,24.859602315659572,940.6272583007812,62.502767072401234,67.91364941990659,1.915529727935791,N/A
2010,1,20,17,0,72,110,90,61,262,102,17,23.50103025778924,941.15771484375,69.36520551475017,80.95507556449178,2.1165897846221924,N/A
2010,1,20,18,0,0,0,0,0,0,0,17,22.79316197370281,941.7012939453125,71.52143395683983,94.47948322606535,2.3115341663360596,N/A
2010,1,20,19,0,0,0,0,0,0,0,17,22.228807872975892,942.6362915039062,73.11743835405011,108.29203686344492,2.4424760341644287,N/A
2010,1,20,20,0,0,0,0,0,0,0,16,21.674848500969915,942.9799194335938,74.37739335941701,122.27731591203215,2.561617136001587,N/A
2010,1,20,21,0,0,0,0,0,0,0,16,21.010068781236214,942.9129638671875,76.5115402240355,136.35010679250817,2.628539562225342,N/A
2010,1,20,22,0,0,0,0,0,0,0,16,20.3355614504174,942.7734375,79.52752779317416,150.41234213650094,2.6209957599639893,N/A
2010,1,20,23,0,0,0,0,0,0,0,16,19.69510115171431,942.5498046875,82.59158290063789,164.18621746669572,2.558962821960449,N/A
2010,1,21,0,0,0,0,0,0,0,0,16,19.081126592865587,941.9676513671875,85.71465737277661,174.21703350473126,2.435934066772461,N/A
2010,1,21,1,0,0,0,0,0,0,0,16,18.50373147491223,941.4319458007812,88.8753389682321,164.93571874378782,2.3293709754943848,N/A
2010,1,21,2,0,0,0,0,0,0,0,16,18.009091344462888,941.14599609375,91.25187002341431,151.20033633743782,2.2543678283691406,N/A
2010,1,21,3,0,0,0,0,0,0,0,16,17.530626282406445,940.7443237304688,93.47393915069117,137.13936740555033,2.2090959548950195,N/A
2010,1,21,4,0,0,0,0,0,0,0,16,17.04739092808427,940.9779663085938,95.73134117409064,123.05822880119399,2.172356367111206,N/A
2010,1,21,5,0,0,0,0,0,0,0,16,16.668590963129816,941.7093505859375,97.31766036447004,109.05759988933053,2.1238887310028076,N/A
2010,1,21,6,0,0,0,0,0,0,0,16,17.232565477939715,942.4283447265625,93.55977507891888,95.22137781064902,2.0979254245758057,N/A
2010,1,21,7,0,63,201,93,57,246,93,17,19.62782579518006,943.2987060546875,85.35661256244963,81.66108736920778,1.8796252012252808,N/A
2010,1,21,8,0,119,544,318,119,544,318,17,22.76519963107131,943.9600830078125,70.81686960487262,68.56412522931569,2.1862847805023193,N/A
2010,1,21,9,0,153,694,539,153,694,539,17,24.99566266531542,944.2389526367188,61.42504510099213,56.268119713380685,2.4631268978118896,N/A
2010,1,21,10,0,174,774,718,174,774,718,16,26.512503112668412,943.6717529296875,55.28328812022193,45.44205840284421,2.5249762535095215,N/A
2010,1,21,11,0,186,815,834,186,815,834,16,27.5010762365726,942.7352905273438,51.81963674261701,37.39603799030027,2.4466781616210938,N/A
2010,1,21,12,0,189,828,875,189,828,875,16,27.882709322058872,941.5555419921875,50.32606753986103,34.161445392016,2.329965114593506,N/A
2010,1,21,13,0,186,817,839,186,817,839,16,27.794692405542662,940.57763671875,49.86574933048993,37.024004151969386,2.2214906215667725,N/A
2010,1,21,14,0,175,778,728,175,778,728,16,27.261791577493398,940.1407470703125,50.33873043790138,44.829589789317446,2.119171142578125,N/A
2010,1,21,15,0,155,702,553,155,702,553,15,26.1037939486352,939.480224609375,52.145195704143546,55.52825000265498,2.0948610305786133,N/A
2010,1,21,16,0,122,559,334,122,559,334,15,24.442001191636166,939.6282348632812,58.274356255815675,67.75822915121653,2.181415557861328,N/A
